target,Treatment,sex,ID,log_fold_change
HDAC4,ecig3,m,9,-0.22896287284803202
HDAC4,ecig3,m,10,-0.10535995662840064
HDAC4,ecig3,m,11,-0.06321575723544307
HDAC4,ecig6,m,12,0.27823178997236614
HDAC4,ecig6,m,13,0.23234368052333507
HDAC4,ecig6,m,14,0.4370464858148078
HDAC4,control,f,15,0
HDAC4,control,f,16,-0.08239172919523369
HDAC4,control,f,17,0.002671219769525332
HDAC4,ecig0,f,18,0.31567167321108336
HDAC4,ecig0,f,19,0.32815255744930966
HDAC4,ecig0,f,20,0.2125279596167599
HDAC4,ecig3,f,21,-0.16589769081641936
HDAC4,ecig3,f,22,-0.0647723833430218
HDAC4,ecig3,f,23,-0.2411341176327179
HDAC4,ecig3,f,24,-0.2715673471043581
HDAC4,ecig6,f,25,-0.014402057670553355
HDAC4,ecig6,f,26,0.01744583216271228
HDAC4,ecig6,f,27,-0.04046673984511898
HDAC5,control,m,2,0.026800459689967315
HDAC5,control,m,3,-0.07027117786181764
HDAC5,control,m,4,0.1186186421694246
HDAC5,ecig0,m,5,0.41197014532200565
HDAC5,ecig0,m,6,0.46148506415879537
HDAC5,ecig0,m,7,-0.5175612327810778
HDAC5,ecig3,m,8,-0.018075105265647238
HDAC5,ecig3,m,9,-0.15564581328408686
HDAC5,ecig3,m,10,-0.18195583490511846
HDAC5,ecig3,m,11,-0.1542610753040326
HDAC5,ecig6,m,12,0.2561900726598537
HDAC5,ecig6,m,13,-0.1764375938486033
HDAC5,ecig6,m,14,0.31241555215998384
HDAC5,control,f,15,0
HDAC5,control,f,16,-0.11800809313221738
HDAC5,control,f,17,-0.08203711586034061
HDAC5,ecig0,f,18,0.31283687374191593
HDAC5,ecig0,f,19,0.30913137511328875
HDAC5,ecig0,f,20,0.2089812242078468
HDAC5,ecig3,f,21,-0.2076047946556726
HDAC5,ecig3,f,22,-0.17652013627341434
HDAC5,ecig3,f,23,-0.2671081897785886
HDAC5,ecig3,f,24,-0.34443647403475575
HDAC5,ecig6,f,25,-0.22355107599798374
HDAC5,ecig6,f,26,-0.017617539672237205
HDAC5,ecig6,f,27,-0.09549261481252916
HDAC6,control,m,2,0.011729091927054177
HDAC6,control,m,3,0.1399422825302797
HDAC6,control,m,4,0.19528767073508907
HDAC6,ecig0,m,5,0.5337954794172406
HDAC6,ecig0,m,6,0.04305397224585327
HDAC6,ecig0,m,7,-0.027260433523342054
HDAC6,ecig3,m,8,0.07329923858820213
HDAC6,ecig3,m,9,0.3487416846207447
HDAC6,ecig3,m,10,0.046086126980178554
HDAC6,ecig3,m,11,0.11893538593086228
HDAC6,ecig6,m,12,0.37258904005324894
HDAC6,ecig6,m,13,0.20456312737348445
HDAC6,ecig6,m,14,0.6120827850335955
HDAC6,control,f,15,0
HDAC6,control,f,16,0.0644488965096826
HDAC6,control,f,17,0.1030282986939879
HDAC6,ecig0,f,18,0.5034800730859027
HDAC6,ecig0,f,19,0.33528124877662835
HDAC6,ecig0,f,20,0.551629820892356
HDAC6,ecig3,f,21,-0.04467110538256061
HDAC6,ecig3,f,22,0.03651247002807589
HDAC6,ecig3,f,23,-0.03048867919684255
HDAC6,ecig3,f,24,-0.05047676987893426
HDAC6,ecig6,f,25,0.11727237582281548
HDAC6,ecig6,f,26,0.19953406005992338
HDAC6,ecig6,f,27,-0.012333981600342025
HDAC7,control,m,2,0.03972458049380952
HDAC7,control,m,3,0.5446978827702031
HDAC7,control,m,4,0.17696638313898777
HDAC7,ecig0,m,5,-0.35091903457938095
HDAC7,ecig0,m,6,0.7102363845957964
HDAC7,ecig0,m,7,-0.3316905629883481
HDAC7,ecig3,m,8,0.4002473148188607
HDAC7,ecig3,m,9,0.6485970612416461
HDAC7,ecig3,m,10,0.34232914365311096
HDAC7,ecig3,m,11,0.27519945462004347
HDAC7,ecig6,m,12,0.0739314617850959
HDAC7,ecig6,m,13,-0.31653364250066734
HDAC7,ecig6,m,14,0.43000990966616287
HDAC7,control,f,15,0
HDAC7,control,f,16,0.4254407559799767
HDAC7,control,f,17,0.5529763280629624
HDAC7,ecig0,f,18,0.284258892133552
HDAC7,ecig0,f,19,0.04790507062597811
